service_name,organisation_name,description,address,categories,email,website,facebook,phone,facilities,access_options,opening_times,accreditation 
Cwlwm Celtaidd,Cwlwm Celtaidd,"A family festival of music, song 'amp; dance of the Celtic countries of Ireland, Scotland, Isle of Man, Cornwall, Brittany 'amp; Wales, with a packed programme of concerts, dances, workshops, street dance displays in the Town Centre and on the Esplanade on Saturday, our legendary sessions in the bar and Beach Ceilidh on Sunday!Based in the Grand Pavilion on the town's seafront and close to all the amenities of Porthcawl","209 Erw Hir,Brackla,Bridgend,CF312DH",,cwlwmceltaidd@gmail.com,,,07855 373098,,,,
Dewis Centre for Independent Living,Dewis Centre for Independent Living,"Dewis Centre for Independent Living (C.I.L.) is a voluntary organisation that provides a Direct Payment support service in six Local Authorities - Rhondda Cynon Taf, Vale of Glamorgan, Merthyr Tydfil, Swansea, Neath Port Talbot, and Bridgend. Dewis also provides Advocacy services in six local authorities - Rhondda Cynon Taf, Newport, Conwy, Wrexham, Caerphilly and Pembrokeshire. It works in partnership with the Social Services Departments of each of these authorities.","Amber House,Upper Boat Business Park,Pontypridd,CF375BP",,info@dewiscil.org.uk,,,01443 827930,,,,
Down's Heart Group,Down's Heart Group,a charity offering support and information relating to heart conditions associated with Down's Syndrome,,"Children and Families,Disability",,,,,,,,
Elite S.E.A Ltd,Elite S.E.A Ltd,"ELITE Supported Employment Agency Ltd was set up in Mid Glamorgan during 1994 to help adults with learning disabilities access and maintain paid employment in their area. Over time, this has expanded to meet the need of those who are disadvantaged.","8 Magden Park,Green Meadow,Ponytclun,CF728XT",,information@elitesea.co.uk,,,01443 226664,,,,
Friends of Pencoed Comprehensive School,Friends of Pencoed Comprehensive School,What is our aim?Our aim is to work for the benefit of the pupils of the school and the wider community of Pencoed.What do we do?Â· identify projects for support - in school and in the local communityÂ· raise fundsÂ· apply funds to carry out our workÂ· receive grants and donationsÂ· co-operate with and support other organisations with similar purposes,"c/o Pencoed Comprehensive School,Coychurch Road,Pencoed,CF355LZ",,Linda.Harpwood@bridgend.gov.uk,,,01656 867100,,,,
Gilfach Goch Community Association,Gilfach Goch Community Association,"The organisation currently supports the local community and surrounding areas in many ways to include the provision of;Childcare ServicesChildren's 'amp; Youth ServicesInformation 'amp; Advice ServicesA Volunteering ProgrammeJobs 'amp; Employment SupportStarting a New BusinessCourses 'amp; TrainingCommunity Events 'amp; FunctionsFunding assistance for Community Groups, Associations 'amp; Social Enterprises","Cambrian Avemue,Gilfach Goch,CF398TG",,enquiries@ggca.org.uk,,,01443 675004,,,,
Age Cymru Sir Gâr- Coasting Crafters at The Coasting Pilot Hotel,Age Cymru Sir Gâr,Crafting Group,,,info@agecymrusirgar.org.uk,,,01554 784080,,,,
Age Cymru Sir Gâr  - Glanafon LIFT exercises at Glanafon Sheltered Housing,Age Cymru Sir Gâr,Gentle LIFT exercise group as part of the Age Cymru Befriending Groups,,"Community,Health and social care,Older People",info@agecymrusirgar.org.uk,,,01554 784080,,,,
Age Cymru Sir Gâr - Kidwelly Tea Dance at The Princess Gwenllian Centre,Age Cymru Sir Gâr,"Tea dance and socialisation group at The Princess Gwenllian Centre, Kidwelly",,"Community,Older People",info@agecymrusirgar.org.uk,,,01554 891801 / 01554 784080,,,,
"Age Cymru Sir Gâr - The Railway Lunch Club at The Railway Inn, Nantgaredig",Age Cymru Sir Gâr,"Lunch Club organised by Age Cymru at The Railway Inn, Nantgaredig.",,"Community,Older People",infoengine@cavs.org.uk,,,01554784080 01267290211,,,,
Llanerch Community Centre,Llanelli Town Council,Llanerch Community Centre is the property of Llanelli Town Council. The hall is for use by the community. The Hall includes main hall area; meeting rooms; Kitchen; Toilets; Disabled Toilet; The hall has full disabled access and has on street parking. The hall is available for hire by the local community. The regular activities taking place at the hall are: Cylch Meithrin Llanerch; MERLE Slimming Group; Alban Road OAP Associaton; Marks and Spencer Retired Club; Loris' Stage School; Lucinda Jones Ballet; JLewis Tap Dancing; Lleidi Ward Labour Party; Community Team for Learning Disability; Alzheimers Society;,"Heol Nant Y Felin,Llanerch,Llanelli,SA153PA",Community,enquiries@llanellitowncouncil.gov.uk,http://www.llanellitowncouncil.gov.uk/,,01554 774352,"Toilets,Kitchen,Dance floor,Disabled access,Disabled toilet,Conference","Drop in,By appointment only",,
Glenalla Civic Hall,Llanelli Town Council,"Glenalla Civic Hall is the property of Llanelli Town Council. The hall is for use by the community. The Hall includes main hall area; meeting rooms; Kitchen; Toilets; Disabled Toilet. The hall has full disabled access and has on street parking. The hall is available for hire by the local community. The timetable of regular activities is as follows: Weekly Activities: Tara O'Reily Dance Club; Lori's Stage School; Llanelli Musical Players; Academy Theatre Group; Lliesiau Hardd, singing group Monthly Activities: St Albans Ladies Fellowship; Llanelli Choral Society. For further details please contact the Town Council directly.","Glenalla Road,Llanelli,SA151EE",Community,enquiries@llanellitowncouncil.gov.uk,http://www.llanellitowncouncil.gov.uk/,,01554 774352,"Toilets,Kitchen,Dance floor,Disabled access,Disabled toilet,Conference","Drop in,By appointment only",,
A Light Hearted Look Group,Llanelli U3A,"A light hearted look at history and literature meets at Llanerch Community Hall at 2:00 pm on the first Friday of the month. The group leader is Mrs Julia Evans. This is a very well supported and popular group. An unusual approach to History and Literature - brought to life by the use of over 500 puppets and models. Regular members of the group provider constant and cheerful support. 2016 will be the 400th anniversary of a very important person and we will be looking at the wonderful legacy he has left us. Look out, William Shakespeare, we are on our way! These are the sensational headlines for the coming year: Into the Woods! Courting couples elope to avoid arranged Marriage. Wood you believe it! Forest comes to Dunsinane. Criminals never prosper! Miranda in monster assault ordeal. To be or not to be? What kind of question is that? Katherine if Arrogant! Merchant's daughter wins ""Shrew of the Year"" again What does he want our ears for? Mark Anthony in plastic appeal to crowd. Wanted for forgery and plagiarism - William Shakespeare. Unlikely to be arrested as he is a genius. Come along and hear the truth about these headlines. Julia Evans, Group Leader","Glenalla Road,LLanelli,SA15 1EE","Arts/Culture/Heritage,Community,Health and social care,Older People",,https://u3asites.org.uk/llanelli/page/58002,,,"Toilets,Kitchen,Refreshment,Parking,Disabled access,Disabled toilet,Conference",,,
Classical Music Appreciation Group,Llanelli U3A,"The group had a late start and an average of 5 members meet at my house in College Square on the 3rd Thursday at 2:00 pm. As leader I try to make it interesting by playing lighter and popular pieces choosing a theme for each one. So far I have put on a Request Program and music by Chopin, Brahms, Tchaikovsky and the Russian Big Five. Peter Chin, Group Leader","Glenalla Road,LLanelli,SA15 1EE","Community,Health and social care,Older People",,https://u3asites.org.uk/llanelli/page/58005,,,"Toilets,Kitchen,Refreshment,Parking,Disabled access,Disabled toilet,Conference",,,
Craft Group,Llanelli U3A,"The Craft group meets at the Felinfoel Community Resource Centre at 2:00 pm on the 3rd Wednesday of the month. My joy of crafting has been life-long, and it was in 2007, after much persuading, that Joan Collard and I decided to form the U3A craft and hobbies group. We have been experimenting with card making, embossing, die cutting and stamping. Meriel works hard at making and selling cards for Leukemia, some ladies are making colourful scarves for the winter weather and others are enjoying ZANTANGLE, the new stress-relieving craze, (colouring in!). The group is very well attended, and all U3A members will receive a warm welcome if they wish to join us. Come along and learn a new skill, or recap on an old one, or you can just come along for a chat amongst good company! We provide tea, coffee, biscuits and plenty of humorous conversation! Elizabeth Hopkins, Group Leader","Glenalla Road,LLanelli,SA15 1EE","Arts/Culture/Heritage,Community,Health and social care,Older People",,https://u3asites.org.uk/llanelli/page/58006,,,"Toilets,Kitchen,Refreshment,Parking,Disabled access,Disabled toilet,Conference",,,
Discussion Group,Llanelli U3A,"Again our Group has been subjected to a venue change for our meetings. Happily, we have been accommodated in a meeting room at our local ASDA Superstore. We meet at the ASDA meeting room on the 2nd Tuesday at 2:00 pm. Our grateful thanks again, go to the Committee for their efforts on our behalf. And we thank our new hosts for their beneficence. Our Group meetings are very enjoyable with whole-hearted discussions on wide-ranging issues of the days. The average attendance is around 9 members - a very satisfactory number allowing for each to have a chance to air their thoughts. George Wilson, Group Leader","Glenalla Road,LLanelli,SA15 1EE","Community,Health and social care,Older People",,https://u3asites.org.uk/llanelli/page/58007,,,"Toilets,Kitchen,Refreshment,Parking,Disabled access,Disabled toilet,Conference",,,
Indoor Bowls Group,Llanelli U3A,"We did our best, but the Pembrokeshire team were just too good for us last year. This March we did much better and won the match, but win or lose it is always a very enjoyable day out. A couple of members were unable to re-join us in September, but we welcomed three new players to our team, namely Bert, George and Katherine who all joined U3A following the recruitment event that took place in September. George and Katherine have not played bowls before but are enjoying the experience. If everyone were able to attend the bowls session our numbers would be 14 and this would enable us to occupy two rinks. We are a very sociable group who enjoy the game and also look forward to a chat and a laugh. We welcome new members to come and join us. We meet every Thursday at 10.45am at the centre September to April. Janet Williams, Group Leader","Glenalla Road,LLanelli,SA15 1EE","Community,Health and social care,Older People,Sport and recreation",,https://u3asites.org.uk/llanelli/page/58004,,,"Toilets,Kitchen,Refreshment,Parking,Disabled access,Disabled toilet,Conference",,,
